"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"USC2-61381","INVENTORY LOCATOR SERVICE LLC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61366","INVENTORY LOCATOR SERVICE-UK INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110015654775","JAY CEE FASTENER CORP.","US","NEW JERSEY","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC245241665L","JEPPESEN (CANADA) LTD.","CA","MONTREAL","n.a.","n.a.","n.a.","n.a.","n.a."
"SGC200208480R","JEPPESEN ASIA/PACIFIC PTE. LTD.","SG","SINGAPORE","n.a.","10","14","7","2"
"AUC010573814","JEPPESEN AUSTRALIA PTY LTD","AU","SYDNEY","75","8","9","5","n.a."
"USC130221947L","JEPPESEN DATA PLANT","US","PEACHTREE CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC124078014L","JEPPESEN DATAPLAN","US","SAN JOSE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC188495709L","JEPPESEN DATAPLAN INC","US","LOS GATOS","n.a.","n.a.","n.a.","n.a.","n.a."
"DEC6070723104","JEPPESEN DEUTSCHLAND GMBH","DE","NEU-ISENBURG","3","n.a.","n.a.","n.a.","n.a."
"DEC6210180896","JEPPESEN GMBH","DE","NEU-ISENBURG","680","n.a.","n.a.","n.a.","n.a."
"GRC2-61453","JEPPESEN HELLAS MARINE SINGLE MEMBER LLC","GR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC149201697L","JEPPESEN INC","US","ENGLEWOOD","n.a.","n.a.","n.a.","n.a.","n.a."
"JPC2-61471","JEPPESEN JAPAN KK","JP",,"n.a.","n.a.","n.a.","n.a.","n.a."
"KRC2-61473","JEPPESEN KOREA CO LTD","KR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"MYC2-61475","JEPPESEN MALAYSIA SDN BHD","MY",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC208071606L","JEPPESEN OPTIMIZATION SOLUTIONS INC","US","CAMBRIDGE","n.a.","n.a.","n.a.","n.a.","n.a."
"PLC190133021","JEPPESEN POLAND SP. Z O.O.","PL","GDANSK","301","10","24","7","2"
"PLC2-61493","JEPPESEN POLAND SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA","PL",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC236909036L","JEPPESEN SANDERSON","US","ENGLEWOOD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC123109228L","JEPPESEN SANDERSON INC","US","ENGLEWOOD","n.a.","n.a.","n.a.","n.a.","n.a."
"SEC5564840303","JEPPESEN SYSTEMS AB","SE","GÖTEBORG","283","100","93","55","23"
"CAC*270860730","JEPPESEN SYSTEMS CANADA LTD","CA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC01321734","JEPPESEN U.K. LIMITED","GB","CRAWLEY","81","40","33","35","6"
"UAC2-61507","JEPPESEN UKRAINE","UA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61472","KEELER STREET OPEN SPACE LLC","US","KANSAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC140935353L","KLX AEROSPACE","US","CARSON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC199213122L","KLX AEROSPACE SOLUTIONS","US","MIAMI","n.a.","n.a.","n.a.","n.a.","n.a."
"USC291226547L","KLX AEROSPACE SOLUTIONS","US","DORAL","n.a.","n.a.","n.a.","n.a.","n.a."
"USC168567885L","KLX AEROSPACE SOLUTIONS","US","MIAMI","n.a.","n.a.","n.a.","n.a.","n.a."
"USC272730902L","KLX AEROSPACE SOLUTIONS","US","GRAND PRAIRIE","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC*110141368193","KLX AEROSPACE SOLUTIONS CANADA INC.","CA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"AEC*110141368194","KLX AEROSPACE SOLUTIONS FZE","AE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC130939728L","KLX AEROSPACE SOLUTIONS GROUP","US","DORAL","n.a.","n.a.","n.a.","n.a.","n.a."
"USC263673527L","KLX ENERGY","US","BOSSIER CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110015654789","KLX ENERGY HOLDINGS LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC281313407L","KLX ENERGY SERVICES","US","DALLAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC264348869L","KLX ENERGY SERVICES LLC","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC304258874L","KLX INC","US","HIALEAH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC319921712L","KLX INC.","US","ROYAL PALM BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110186633750","KLX INTERNATIONAL INC","US","WILMINGTON, DE","n.a.","n.a.","n.a.","n.a.","n.a."
"LUCLB192054","KLX INVESTMENTS I SARL","LU","LUXEMBOURG","n.a.","210","0","-29","-11"
