"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR261769179",Mar-26-2014,May-23-2014,"Merger/Acquisition","Buyer","Simplexity, LLC","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Versa Capital Management, LLC","-","-","-","-","  10.24 ","-"
"IQTR340104692",Jan-30-2014,Jan-30-2014,"Merger/Acquisition","Seller","60-Acre Parcel Adjacent to Hollywood Park and Forum","The Kroenke Group","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","-","-"
"IQTR256116362",Jan-30-2014,Jan-13-2014,"Merger/Acquisition","Seller","Wal-Mart Stores Inc., 60-Acre Parking Lot in Inglewood",,"Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","-","-"
"IQTR247963440",Oct-09-2013,Mar-21-2014,"Merger/Acquisition","Buyer","Bharti Walmart Private Limited (nka:Walmart India Pvt.Ltd.)","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Bharti Enterprises Limited","-","-","-","-","  100.0 ","-"
"IQTR241461077",Jun-07-2013,"-","Buyback","Target","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,"-","-","-","-","  6,417.57 ","-"
"IQTR237432094",Apr-23-2013,Mar-31-2013,"Merger/Acquisition","Buyer","11.6 Acre Parcel","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Ramco-Gershenson Properties Trust (nka:RPT Realty (NYSE:RPT))","-","-","-","-","-","-"
"IQTR171081741",Feb-19-2012,Feb-29-2012,"Private Placement","Buyer","Niuhai E-commerce (Shanghai) Co., Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,1,"Growth","-","-","-","   -  "
"IQTR145594356",Jan-03-2012,Jan-03-2012,"Merger/Acquisition","Target","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,"Stichting Pensioenfonds ABP","-","-","-","-","-","-"
"IQTR145426705",Dec-16-2011,Dec-16-2011,"Merger/Acquisition","Seller","Wal-Mart Stores Inc., Site at Barra da Tijuca","Multiplan Empreendimentos Imobiliários S.A. (BOVESPA:MULT3)","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","  124.73 ","-"
"IQTR142824449",Nov-10-2011,Nov-10-2011,"Merger/Acquisition","Buyer","Grabble Pty Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","500 Startups; Startmate","-","-","-","-","-","-"
"IQTR138619403",Jul-26-2011,Jul-26-2011,"Private Placement","Buyer","Bharti Walmart Private Limited (nka:Walmart India Pvt.Ltd.)","Bharti Enterprises Limited; Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,1,"Venture","-","-","  27.17 ","  27.17 "
"IQTR140006887",Jul-14-2011,Jun-30-2011,"Merger/Acquisition","Buyer","Baytown Distribution Center","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Texas Education Agency, Endowment Arm Seller Funds: Texas Permanent School Fund","-","-","-","-","  104.5 ","-"
"IQTR133852239",Jun-03-2011,"-","Buyback","Target","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))",,,"-","-","-","-","  14,288.0 ","-"
"IQTR132705810",May-13-2011,Sep-30-2011,"Merger/Acquisition","Buyer","Niuhai E-commerce (Shanghai) Co., Ltd.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Ping An Insurance (Group) Company of China, Ltd. (SEHK:2318)","-","-","-","-","  65.0 ","-"
"IQTR130272815",Apr-18-2011,"-","Merger/Acquisition","Buyer","Kosmix Corporation (nka:WalmartLabs, Inc.)","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","Accel Partners; Cambrian Ventures, Inc.; DAG Ventures, LLC; Lightspeed Venture Partners; Time Warner Investments (nka:WarnerMedia Investments) Seller Funds: Lightspeed Venture Partners VI, L.P.","-","-","-","-","  300.0 ","-"
"IQTR118892473",Jan-26-2011,Jan-26-2011,"Merger/Acquisition","Seller","Wal-Mart Stores Inc., A Big-Box Retail Center at Highway 111 in La Quinta","Barker Pacific Group, Inc.; Urdang Capital Management Inc. (nka:CenterSquare Investment Management Holdings, Inc.) Buyer Funds: Urdang Value-Added Fund II, L.P.","Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT))","-","-","-","-","  7.26 ","-"
"IQTR117533586",Dec-23-2010,Apr-01-2011,"Private Placement","Buyer","360Buy Jingdong Inc. (nka:JD.com, Inc. (NasdaqGS:JD))","CITIC Private Equity Funds Management Co., Ltd.; DST Global; Hillhouse Capital Management, Ltd.; Sequoia Capital China; The Tiger Fund; Wal-Mart Stores, Inc. (nka:Walmart Inc. (NYSE:WMT)) Buyer Funds: DST Global II",,5,"Venture","  8,500.0 ","  10,000.0 ","  1,500.0 ","  1,681.0 "
