"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR36254668",Aug-13-2007,Dec-05-2007,"Merger/Acquisition","Seller","Dow Chemical Co., Western Canada Caustic Soda Distribution Assets","Univar Canada Ltd.","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR35246121",Jun-26-2007,Jun-30-2007,"Merger/Acquisition","Seller","Petroquimica Uniao S.A. (nka:Quattor Químicos Básicos S.A.)","Unipar Participações S.A. (nka:Unipar Carbocloro S.A. (BOVESPA:UNIP6))","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR33089655",Mar-05-2007,Apr-27-2007,"Merger/Acquisition","Buyer","Hyperlast Limited","DuPont de Nemours, Inc. (NYSE:DD)","Vita (Holdings) Limited","-","-","-","-","  290.47 ","-"
"IQTR33089659",Mar-05-2007,Apr-27-2007,"Merger/Acquisition","Buyer","Autothane Limited","DuPont de Nemours, Inc. (NYSE:DD)","British Vita (Lux III) S.à r.l. (nka:Vita (Lux III) S.à r.l.)","-","-","-","-","-","-"
"IQTR29827169",Feb-20-2007,Sep-30-2008,"Buyback","Target","DuPont de Nemours, Inc. (NYSE:DD)",,,"-","-","-","-","  2,000.0 ","-"
"IQTR30742964",Dec-18-2006,Jun-30-2007,"Merger/Acquisition","Buyer","Wolff Walsrode AG (nka:Dow Wolff Cellulosics GmbH)","DuPont de Nemours, Inc. (NYSE:DD)","Bayer Aktiengesellschaft (XTRA:BAYN)","-","-","-","-","  731.41 ","-"
"IQTR30674535",Dec-14-2006,Dec-14-2006,"Merger/Acquisition","Seller","Chrome International South Africa (Pty) Limited","LANXESS Aktiengesellschaft (XTRA:LXS)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  30.27 ","-"
"IQTR30374872",Nov-22-2006,Feb-05-2007,"Merger/Acquisition","Seller","Dow Chemical Co., Brazilian VAM Manufacturing Facility","The JB Group","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","-","-"
"IQTR29808386",Oct-05-2006,Oct-02-2006,"Merger/Acquisition","Seller","DH Compounding Company","PolyOne Corporation (NYSE:POL)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  10.2 ","-"
"IQTR29397473",Oct-04-2006,Oct-23-2006,"Merger/Acquisition","Seller","Dendritic NanoTechnologies Inc.","Starpharma Holdings Limited (ASX:SPL)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  7.18 ","-"
"IQTR29394784",Oct-03-2006,Nov-01-2006,"Merger/Acquisition","Seller","SilverStorm Technologies, Inc.","QLogic Corp.","A.G. Edwards Capital, Inc.; Arch Venture Partners, L.P.; Axiom Venture Partners, L.P.; Bay Partners; Castile Ventures; Chevron Technology Ventures L.L.C.; Core Management II Corporation; CrossLink Capital, Inc.; DuPont de Nemours, Inc. (NYSE:DD); W Capital Management, LLC; Wasserstein & Co., L.P. Seller Funds: Core Capital Partners II, L.P.; Wasserstein Ventures II, L.P.","-","-","-","-","  59.4 ","-"
"IQTR28910970",Aug-31-2006,Dec-01-2006,"Merger/Acquisition","Buyer","American Electric Power Co. Inc., Plaquemine Cogeneration Facility","DuPont de Nemours, Inc. (NYSE:DD)","American Electric Power Company, Inc. (NYSE:AEP)","-","-","-","-","  64.0 ","-"
"IQTR37613777",Aug-08-2006,Aug-14-2006,"Merger/Acquisition","Buyer","Styron Asia Limited","DuPont de Nemours, Inc. (NYSE:DD)","Asahi Kasei Corporation (TSE:3407)","-","-","-","-","-","-"
