"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"USC167220702L","EXXON MOBIL OIL","US","ANAHEIM","n.a.","n.a.","n.a.","n.a.","n.a."
"USC230493617L","EXXON MOBIL PETROCHEMICAL DIVISION","US","DALLAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC252957212L","EXXON MOBIL PIPELINE","US","EVERETT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC230599643L","EXXON MOBIL PIPELINE","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC293783468L","EXXON MOBIL PIPELINE","US","MOUNT BELVIEU","n.a.","n.a.","n.a.","n.a.","n.a."
"USC210251085L","EXXON MOBIL PIPELINE 61","US","MERAUX","n.a.","n.a.","n.a.","n.a.","n.a."
"USC301031237L","EXXON MOBILE","US","MILFORD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-89532","EXXON MOBILE BAY LTD PARTNERSHIP","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"BSC6030B","EXXON NEFTEGAS LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC4-5087529","EXXON NEFTEGAS LTD","US","IRVING TX","n.a.","n.a.","n.a.","n.a.","n.a."
"USC201595401L","EXXON NETFEGAS LTD","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145434264L","EXXON OIL CO AGENT","US","RUDYARD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145096647L","EXXON OIL DISTRIBUTERS","US","BOZEMAN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC146859428L","EXXON OIL DISTRIBUTOR","US","SALEM","n.a.","n.a.","n.a.","n.a.","n.a."
"USC142114678L","EXXON OIL DISTRIBUTORS","US","RED BLUFF","n.a.","n.a.","n.a.","n.a.","n.a."
"USC223560704L","EXXON OIL JOBBER","US","SAINT MARIES","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147892344L","EXXON OIL PIPELINE DIVISION","US","BEAUMONT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147758163L","EXXON OIL PRODUCTS","US","MORRISTOWN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC143940872L","EXXON OIL PRODUCTS","US","NEW IBERIA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC298739492L","EXXON OVERSEAS CORP","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-89534","EXXON OVERSEAS INVESTMENT CORPORATION","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC226697216L","EXXON PIPELINE PAYABLES","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC243577976L","EXXON PRODUCTION RESEARCH CO","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
