"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR560893391",Apr-27-2018,May-01-2018,"Merger/Acquisition","Seller","Working Interest in Ram Powell Unit and Related Assets","Stone Energy Corporation","Anadarko US Offshore LLC; Exxon Mobil Corporation (NYSE:XOM); Shell Offshore, Inc.","-","-","-","-","  34.0 ","-"
"IQTR557850242",Mar-29-2018,"-","Merger/Acquisition","Buyer","Exploration rights for blocks 536 and 647 in the Santos Basin, Brazil","Exxon Mobil Corporation (NYSE:XOM); Qatar Petroleum",,"-","-","-","-","-","-"
"IQTR557267811",Mar-22-2018,"-","Merger/Acquisition","Seller","A network of service stations in Senegal of Exxon Mobil Corporation","Star Oil Mauritanie S.A","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR553303877",Feb-16-2018,Dec-31-2017,"Merger/Acquisition","Buyer","The Baku-Tbilisi-Ceyhan Pipeline Co.","Exxon Mobil Corporation (NYSE:XOM)","Cieco Energy Ltd.","-","-","-","-","-","-"
"IQTR552808560",Feb-14-2018,Mar-29-2018,"Merger/Acquisition","Seller","Scarborough Gas Field","Woodside Petroleum Ltd (ASX:WPL)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  744.0 ","-"
"IQTR548487510",Dec-20-2017,Jan-04-2018,"Private Placement","Buyer","Yoshi, Inc.","Exxon Mobil Corporation (NYSE:XOM); General Motors Ventures, LLC; The Durant Company; Y Combinator Management LLC",,3,"Series A","-","  13.66 ","  13.66 ","  15.88 "
"IQTR541910086",Oct-27-2017,Jun-06-2018,"Merger/Acquisition","Buyer","BM-S-8 Offshore License in Santos Basin","Exxon Mobil Corporation (NYSE:XOM); Petrogal Brasil S.A.","Equinor Brasil Energia Ltda.","-","-","-","-","  1,550.0 ","-"
"IQTR540984534",Oct-18-2017,Oct-18-2017,"Merger/Acquisition","Buyer","Genesis Energy L.P., Crude Oil Terminal In Wink, Texas","Exxon Mobil Corporation (NYSE:XOM)","Genesis Energy, L.P. (NYSE:GEL)","-","-","-","-","-","-"
"IQTR645730344",Sep-08-2017,Dec-31-2017,"Merger/Acquisition","Seller","Baeshiqa License in the Kurdistan Region","DNO ASA (OB:DNO)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR535166711",Aug-18-2017,Aug-15-2017,"Merger/Acquisition","Buyer","East West Copolymer, LLC","Exxon Mobil Corporation (NYSE:XOM)","Lion Copolymer Services L.L.C.","-","-","-","-","  5.6 ","-"
